O=C([O-])c1cc(ccc1)-c2ccc(F)cc2,8c,5c,ABSA-3-19,3.45,0.02,1.8,312,7,A19,/home/bjartel/xray/derivates/ABSA/ABSA-3-19/Refine_7/ABSA-3-19_refine_007.pdb,/home/bjartel/xray/derivates/ABSA/ABSA-3-19/Refine_7/ABSA-3-19_refine_007.mtz,/home/bjartel/xray/derivates/ABSA/ABSA-3-19/Polder_8/ABSA-3-19_refine_007_polder_map_coeffs.mtz,C
O=C(OC)C1=CC=CC=C1C2=CC(C([O-])=O)=CC=C2,9a,6a,ABML-1-30,3.69,0.02,1.6,200,100,A30,/home/bjartel/xray/derivates/ABML/ABML-1-30/Refine_8/ABML-1-30_refine_008.pdb,/home/bjartel/xray/derivates/ABML/ABML-1-30/Refine_8/ABML-1-30_refine_008.mtz,/home/bjartel/xray/derivates/ABML/ABML-1-30/Polder_9/ABML-1-30_refine_008_polder_map_coeffs.mtz,A
O=C([O-])C1=CC(C2=CC(C(OC)=O)=CC=C2)=CC=C1,9b,6b,ABSA-3-05,3.59,0.04,1.6,144,6,AB5,/home/bjartel/xray/derivates/ABSA/ABSA-3-05/Refine_13/ABSA-3-05_refine_013.pdb,/home/bjartel/xray/derivates/ABSA/ABSA-3-05/Refine_13/ABSA-3-05_refine_013.mtz,/home/bjartel/xray/derivates/ABSA/ABSA-3-05/Polder_14/ABSA-3-05_refine_013_polder_map_coeffs.mtz,C
[O-]C(C1=CC(C2=CC(S(C)(=O)=O)=CC=C2)=CC=C1)=O,12a,22a,ABSA-3-04,3.91,0.02,1.0,150,40,AB4,/home/bjartel/xray/derivates/ABSA/ABSA-3-04/Refine_16/ABSA-3-04_refine_016.pdb,/home/bjartel/xray/derivates/ABSA/ABSA-3-04/Refine_16/ABSA-3-04_refine_016.mtz,/home/bjartel/xray/derivates/ABSA/ABSA-3-04/Polder_17/ABSA-3-04_refine_016_polder_map_coeffs.mtz,D
NC1=CC=C(C2=CC(C([O-])=O)=CC=C2)C=C1,13,10,ABML-1-10,3.48,0.02,1.8,330,30,B10,/home/bjartel/xray/derivates/ABML/ABML-1-10/Refine_12/ABML-1-10_refine_012.pdb,/home/bjartel/xray/derivates/ABML/ABML-1-10/Refine_12/ABML-1-10_refine_012.mtz,/home/bjartel/xray/derivates/ABML/ABML-1-10/Polder_10/ABML-1-10_refine_009_polder_map_coeffs.mtz,D
CN(C)C1=CC=CC(C2=CC(C([O-])=O)=CC=C2)=C1,14,17,ABML-1-40,3.41,0.03,1.5,220,60,A40,/home/bjartel/xray/derivates/ABML/ABML-1-40/Refine_8/ABML-1-40_refine_008.pdb,/home/bjartel/xray/derivates/ABML/ABML-1-40/Refine_8/ABML-1-40_refine_008.mtz,/home/bjartel/xray/derivates/ABML/ABML-1-40/Polder_6/ABML-1-40_refine_005_polder_map_coeffs.mtz,A
[O-]C(C1=CC(C2=CC=C(C(N)=O)C=C2)=CC=C1)=O,11b,16b,ABSA-3-07,3.73,0.01,1.0,200,40,AB7,/home/bjartel/xray/derivates/ABSA/ABSA-3-07/Refine_16/ABSA-3-07_refine_016.pdb,/home/bjartel/xray/derivates/ABSA/ABSA-3-07/Refine_16/ABSA-3-07_refine_016.mtz,/home/bjartel/xray/derivates/ABSA/ABSA-3-07/Polder_18/ABSA-3-07_refine_016_polder_map_coeffs.mtz,A
CS(NC(C=C1)=CC=C1C2=CC=CC(C(O)=O)=C2)(=O)=O,17,18,ABML-1-33,3.43,0.02,1.7,100,40,A33,/home/bjartel/xray/derivates/ABML/ABML-1-33/Refine_5/ABML-1-33_refine_005.pdb,/home/bjartel/xray/derivates/ABML/ABML-1-33/Refine_5/ABML-1-33_refine_005.mtz,/home/bjartel/xray/derivates/ABML/ABML-1-33/Polder_6/ABML-1-33_refine_005_polder_map_coeffs.mtz,B
CS(NCC1=CC=CC(C2=CC=CC(C([O-])=O)=C2)=C1)(=O)=O,19a,20a,ABML-1-45,3.96,0.03,1.0,110,30,A45,/home/bjartel/xray/derivates/ABML/ABML-1-45/Refine_7/ABML-1-45_refine_007.pdb,/home/bjartel/xray/derivates/ABML/ABML-1-45/Refine_7/ABML-1-45_refine_007.mtz,/home/bjartel/xray/derivates/ABML/ABML-1-45/Polder_8/ABML-1-45_refine_007_polder_map_coeffs.mtz,B
O=C([O-])c1cc(ccc1)-c(cc2)ccc2CNS(=O)(=O)C,19b,20b,ABML-1-44,3.35,0.04,1.4,240,80,A44,/home/bjartel/xray/derivates/ABML/ABML-1-44/Refine_36/ABML-1-44_refine_036.pdb,/home/bjartel/xray/derivates/ABML/ABML-1-44/Refine_36/ABML-1-44_refine_036.mtz,/home/bjartel/xray/derivates/ABML/ABML-1-44/Polder_12/ABML-1-44_refine_011_polder_map_coeffs.mtz,A
OC(C1=CC(C2=CC(NC(C)=O)=CC=C2)=CC=C1)=O,21a,13a,ABSA-3-06,4.45,0.03,1.0,100,20,AB6,/home/bjartel/xray/derivates/ABSA/ABSA-3-06/Refine_33/ABSA-3-06_refine_033.pdb,/home/bjartel/xray/derivates/ABSA/ABSA-3-06/Refine_33/ABSA-3-06_refine_033.mtz,/home/bjartel/xray/derivates/ABSA/ABSA-3-06/Polder_29/ABSA-3-06_refine_028_polder_map_coeffs.mtz,D
CC(=O)Nc1ccc(cc1)-c2cccc(c2)C(=O)O,21b,13b,ABSA-3-22,3.35,0.02,1.6,290,8,A22,/home/bjartel/xray/derivates/ABSA/ABSA-3-22/Refine_5/ABSA-3-22_refine_005.pdb,/home/bjartel/xray/derivates/ABSA/ABSA-3-22/Refine_5/ABSA-3-22_refine_005.mtz,/home/bjartel/xray/derivates/ABSA/ABSA-3-22/Polder_6/ABSA-3-22_refine_005_polder_map_coeffs.mtz,D
